"","PN38708PM"
"","Índice de precios Lima Metropolitana (índice Dic.2021 = 100) - IPC Subyacente"
Feb12,74.2265678067965
Mar12,74.6863175475626
Abr12,74.9595238774127
May12,75.2073130290276
Jun12,75.3595779891604
Jul12,75.5085435722284
Ago12,75.7092081120644
Sep12,75.8503577127109
Oct12,75.9501888965411
Nov12,76.1056672112919
Dic12,76.239948250433
Ene13,76.4609908248117
Feb13,76.6181403870704
Mar13,77.283710251178
Abr13,77.5112484808233
May13,77.7032729944286
Jun13,77.9082787861726
Jul13,78.1646462754648
Ago13,78.4035588924846
Sep13,78.5777084539791
Oct13,78.7557867652029
Nov13,78.9096711032292
Dic13,79.091941034264
Ene14,79.3267688658016
Feb14,79.5416043763474
Mar14,80.1818853487965
Abr14,80.3636397855173
May14,80.5491957526667
Jun14,80.6929239988867
Jul14,80.8519482314611
Ago14,80.9915114330427
Sep14,81.1347798967566
Oct14,81.2963493691654
Nov14,81.4702148217854
Dic14,81.7000299780756
Ene15,81.9627154211783
Feb15,82.2405527683738
Mar15,82.9837699507559
Abr15,83.2968473644219
May15,83.5463875957903
Jun15,83.7602781401547
Jul15,84.0045977909086
Ago15,84.2416093758951
Sep15,84.4777873115884
Oct15,84.6540052539949
Nov15,84.8543818427628
Dic15,85.073438856848
Ene16,85.3172936021708
Feb16,85.8449938182733
Mar16,86.4639271359225
Abr16,86.6306354356034
May16,86.9860577721543
Jun16,87.1850608834219
Jul16,87.3291211592093
Ago16,87.5499549744
Sep16,87.7117756835821
Oct16,87.9376129954465
Nov16,88.1129572657092
Dic16,88.2424215814788
Ene17,88.429169695934
Feb17,88.6335609501501
Mar17,89.3413416872755
Abr17,89.4969087993906
May17,89.6910628488234
Jun17,89.8332309509685
Jul17,89.9574890943496
Ago17,90.0807751627386
Sep17,90.1285386459385
Oct17,90.1846354202432
Nov17,90.2621188049222
Dic17,90.3019086690335
Ene18,90.4499777402511
Feb18,90.5694155315222
Mar18,91.26778993824
Abr18,91.3951902489292
May18,91.5778765243365
Jun18,91.9182112068105
Jul18,92.1027965931542
Ago18,92.2269699948199
Sep18,92.3303654536211
Oct18,92.4167939987429
Nov18,92.5074913277314
Dic18,92.6224520028581
Ene19,92.7424311165226
Feb19,92.9159282521908
Mar19,93.7055304240752
Abr19,93.7714914969245
May19,93.9443985356854
Jun19,94.0187459432572
Jul19,94.1904388488264
Ago19,94.3377297691033
Sep19,94.4346691685779
Oct19,94.5102114983733
Nov19,94.5672133227365
Dic19,94.6188656395427
Ene20,94.8072467930245
Feb20,94.9682939405528
Mar20,95.3530638059822
Abr20,95.4286770029047
May20,95.5580794166655
Jun20,95.6463629942244
Jul20,95.7064142396102
Ago20,95.8395623652642
Sep20,95.9086549326613
Oct20,96.0574752594641
